Event Year,Event Month,Event Year-Quarter,Township,State/Region,Township pcode,Channel,Program,Indicator Name,consultation
2018,2018-01,2018-Q1,Bogale,Ayeyarwady,MMR017024,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Nyaungdon,Ayeyarwady,MMR017021,SQH,HIV,HIV positive cases ,3
2018,2018-01,2018-Q1,Pathein,Ayeyarwady,MMR017001,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Kawa,Bago (East),MMR007003,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Mohnyin,Kachin,MMR001007,SQH,HIV,HIV positive cases ,10
2018,2018-01,2018-Q1,Myitkyina,Kachin,MMR001001,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Hlaingbwe,Kayin,MMR003002,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Aunglan,Magway,MMR009016,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,HIV positive cases ,3
2018,2018-01,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,HIV positive cases ,9
2018,2018-01,2018-Q1,Myingyan,Mandalay,MMR010017,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,HIV positive cases ,5
2018,2018-01,2018-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,HIV positive cases ,3
2018,2018-01,2018-Q1,Singu,Mandalay,MMR010010,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Singu,Mandalay,MMR010010,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Taungtha,Mandalay,MMR010018,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Tatkon,Nay Pyi Taw,MMR018003,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Sagaing,Sagaing,MMR005001,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Kengtung,Shan (East),MMR016001,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Nawnghkio,Shan (North),MMR015013,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Bahan,Yangon,MMR013044,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Dagon Myothit (North),Yangon,MMR013019,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Hlegu,Yangon,MMR013004,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Hmawbi,Yangon,MMR013003,SQH,HIV,HIV positive cases ,4
2018,2018-01,2018-Q1,Hmawbi,Yangon,MMR013003,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Kayan,Yangon,MMR013026,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Mayangone,Yangon,MMR013042,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,HIV positive cases ,6
2018,2018-01,2018-Q1,Shwepyithar,Yangon,MMR013007,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,South Okkalapa,Yangon,MMR013011,SQH,HIV,HIV positive cases ,5
2018,2018-01,2018-Q1,Taikkyi,Yangon,MMR013005,SQH,HIV,HIV positive cases ,2
2018,2018-01,2018-Q1,Thaketa,Yangon,MMR013013,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Thanlyin,Yangon,MMR013023,SQH,HIV,HIV positive cases ,1
2018,2018-01,2018-Q1,Thingangyun,Yangon,MMR013009,SQH,HIV,HIV positive cases ,1
2018,2018-02,2018-Q1,Nyaungdon,Ayeyarwady,MMR017021,SQH,HIV,HIV positive cases ,3
2018,2018-02,2018-Q1,Pyapon,Ayeyarwady,MMR017023,SQH,HIV,HIV positive cases ,1
2018,2018-02,2018-Q1,Wakema,Ayeyarwady,MMR017017,SQH,HIV,HIV positive cases ,2
2018,2018-02,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV positive cases ,1
2018,2018-02,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV positive cases ,3
2018,2018-02,2018-Q1,Bhamo,Kachin,MMR001010,SQH,HIV,HIV positive cases ,1
2018,2018-02,2018-Q1,Mohnyin,Kachin,MMR001007,SQH,HIV,HIV positive cases ,3
2018,2018-02,2018-Q1,Amarapura,Mandalay,MMR010006,SQH,HIV,HIV positive cases ,2
2018,2018-02,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,HIV positive cases ,1
2018,2018-02,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,HIV positive cases ,3
2018,2018-02,2018-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,HIV positive cases ,5
