Event Year,Event Month,Event Year-Quarter,Township,State/Region,Township pcode,Channel,Program,Indicator Name,consultation
2018,2018-01,2018-Q1,Bogale,Ayeyarwady,MMR017024,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Bogale,Ayeyarwady,MMR017024,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Bogale,Ayeyarwady,MMR017024,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Danubyu,Ayeyarwady,MMR017022,SQH,HIV,HIV screening,3
2018,2018-01,2018-Q1,Danubyu,Ayeyarwady,MMR017022,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Hinthada,Ayeyarwady,MMR017008,SQH,HIV,HIV screening,2
2018,2018-01,2018-Q1,Hinthada,Ayeyarwady,MMR017008,SQH,HIV,HIV screening,3
2018,2018-01,2018-Q1,Ingapu,Ayeyarwady,MMR017013,SQH,HIV,HIV screening,4
2018,2018-01,2018-Q1,Kyangin,Ayeyarwady,MMR017012,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Mawlamyinegyun,Ayeyarwady,MMR017018,SQH,HIV,HIV screening,8
2018,2018-01,2018-Q1,Myaungmya,Ayeyarwady,MMR017014,SQH,HIV,HIV screening,4
2018,2018-01,2018-Q1,Myaungmya,Ayeyarwady,MMR017014,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Nyaungdon,Ayeyarwady,MMR017021,SQH,HIV,HIV screening,3
2018,2018-01,2018-Q1,Nyaungdon,Ayeyarwady,MMR017021,SQH,HIV,HIV screening,12
2018,2018-01,2018-Q1,Pantanaw,Ayeyarwady,MMR017020,SQH,HIV,HIV screening,2
2018,2018-01,2018-Q1,Pathein,Ayeyarwady,MMR017001,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Pathein,Ayeyarwady,MMR017001,SQH,HIV,HIV screening,22
2018,2018-01,2018-Q1,Pathein,Ayeyarwady,MMR017001,SQH,HIV,HIV screening,4
2018,2018-01,2018-Q1,Wakema,Ayeyarwady,MMR017017,SQH,HIV,HIV screening,14
2018,2018-01,2018-Q1,Wakema,Ayeyarwady,MMR017017,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Wakema,Ayeyarwady,MMR017017,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Zalun,Ayeyarwady,MMR017009,SQH,HIV,HIV screening,2
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV screening,12
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV screening,3
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV screening,2
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV screening,7
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Kawa,Bago (East),MMR007003,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Kawa,Bago (East),MMR007003,SQH,HIV,HIV screening,9
2018,2018-01,2018-Q1,Kawa,Bago (East),MMR007003,SQH,HIV,HIV screening,2
2018,2018-01,2018-Q1,Nyaunglebin,Bago (East),MMR007005,SQH,HIV,HIV screening,3
2018,2018-01,2018-Q1,Nyaunglebin,Bago (East),MMR007005,SQH,HIV,HIV screening,5
2018,2018-01,2018-Q1,Nyaunglebin,Bago (East),MMR007005,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Oktwin,Bago (East),MMR007013,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Taungoo,Bago (East),MMR007009,SQH,HIV,HIV screening,7
2018,2018-01,2018-Q1,Letpadan,Bago (West),MMR008008,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Okpho,Bago (West),MMR008010,SQH,HIV,HIV screening,48
2018,2018-01,2018-Q1,Padaung,Bago (West),MMR008003,SQH,HIV,HIV screening,4
2018,2018-01,2018-Q1,Paungde,Bago (West),MMR008004,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Pyay,Bago (West),MMR008001,SQH,HIV,HIV screening,1
2018,2018-01,2018-Q1,Tedim,Chin,MMR004004,SQH,HIV,HIV screening,17
2018,2018-01,2018-Q1,Mohnyin,Kachin,MMR001007,SQH,HIV,HIV screening,10
2018,2018-01,2018-Q1,Mohnyin,Kachin,MMR001007,SQH,HIV,HIV screening,17
2018,2018-01,2018-Q1,Myitkyina,Kachin,MMR001001,SQH,HIV,HIV screening,2
