Provider State,Provider Township,reportingDate,year,Total,Indicator,Donor
Mon,Mawlamyine,4/20/2022,2022,1,Pregnant mother received care,A2H
Mon,Mawlamyine,8/20/2022,2022,3,Pregnant mother received care,A2H
Mon,Mawlamyine,9/20/2022,2022,1,Pregnant mother received care,A2H
Mon,Mawlamyine,10/20/2022,2022,3,Pregnant mother received care,A2H
Bago (East),Taungoo,4/20/2022,2022,1,Pregnant mother received care,A2H
Bago (East),Taungoo,5/20/2022,2022,3,Pregnant mother received care,A2H
Bago (East),Taungoo,6/20/2022,2022,2,Pregnant mother received care,A2H
Bago (East),Taungoo,7/20/2022,2022,2,Pregnant mother received care,A2H
Bago (East),Taungoo,8/20/2022,2022,2,Pregnant mother received care,A2H
Bago (East),Taungoo,9/20/2022,2022,3,Pregnant mother received care,A2H
Bago (East),Taungoo,10/20/2022,2022,4,Pregnant mother received care,A2H
Bago (East),Phyu,5/20/2022,2022,1,Pregnant mother received care,A2H
Bago (East),Phyu,6/20/2022,2022,1,Pregnant mother received care,A2H
Bago (East),Phyu,7/20/2022,2022,1,Pregnant mother received care,A2H
Bago (East),Phyu,8/20/2022,2022,2,Pregnant mother received care,A2H
Yangon,Hlegu,4/20/2022,2022,2,Pregnant mother received care,A2H
Yangon,Hlegu,5/20/2022,2022,13,Pregnant mother received care,A2H
Yangon,Hlegu,6/20/2022,2022,27,Pregnant mother received care,A2H
Yangon,Hlegu,7/20/2022,2022,15,Pregnant mother received care,A2H
Yangon,Hlegu,8/20/2022,2022,7,Pregnant mother received care,A2H
Yangon,Hlegu,9/20/2022,2022,19,Pregnant mother received care,A2H
Yangon,Hlegu,10/20/2022,2022,8,Pregnant mother received care,A2H
Ayeyarwady,Wakema,5/20/2022,2022,8,Pregnant mother received care,A2H
Ayeyarwady,Wakema,6/20/2022,2022,3,Pregnant mother received care,A2H
Ayeyarwady,Wakema,7/20/2022,2022,2,Pregnant mother received care,A2H
Ayeyarwady,Wakema,8/20/2022,2022,4,Pregnant mother received care,A2H
Ayeyarwady,Wakema,9/20/2022,2022,2,Pregnant mother received care,A2H
Ayeyarwady,Wakema,10/20/2022,2022,2,Pregnant mother received care,A2H
Ayeyarwady,Bogale,5/20/2022,2022,5,Pregnant mother received care,A2H
Ayeyarwady,Bogale,10/20/2022,2022,3,Pregnant mother received care,A2H
Ayeyarwady,Hinthada,6/20/2022,2022,14,Pregnant mother received care,A2H
Ayeyarwady,Hinthada,7/20/2022,2022,14,Pregnant mother received care,A2H
Ayeyarwady,Hinthada,8/20/2022,2022,3,Pregnant mother received care,A2H
Ayeyarwady,Hinthada,9/20/2022,2022,7,Pregnant mother received care,A2H
Ayeyarwady,Hinthada,10/20/2022,2022,12,Pregnant mother received care,A2H
Ayeyarwady,Hinthada,11/20/2022,2022,9,Pregnant mother received care,A2H
Mandalay,Myittha,8/20/2022,2022,59,Pregnant mother received care,A2H
Mandalay,Mogoke,9/20/2022,2022,6,Pregnant mother received care,A2H
Mandalay,Mogoke,10/20/2022,2022,5,Pregnant mother received care,A2H
Shan (South),Loilen,9/20/2022,2022,15,Pregnant mother received care,A2H
Shan (South),Loilen,10/20/2022,2022,13,Pregnant mother received care,A2H
Shan (South),Nansang,9/20/2022,2022,21,Pregnant mother received care,A2H
Shan (South),Nansang,10/20/2022,2022,14,Pregnant mother received care,A2H
Sagaing,Monywa,10/20/2022,2022,33,Pregnant mother received care,A2H
Yangon,Dagon Myothit (North),3/20/2020,2020,6,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),4/20/2020,2020,8,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),6/20/2020,2020,14,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),7/20/2020,2020,6,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),8/20/2020,2020,6,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),9/20/2020,2020,10,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),10/20/2020,2020,5,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),11/20/2020,2020,4,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),12/20/2020,2020,11,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),1/25/2021,2021,9,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),2/25/2021,2021,7,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),3/25/2021,2021,4,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),4/25/2021,2021,9,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),5/25/2021,2021,7,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),6/25/2021,2021,16,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),7/25/2021,2021,11,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),8/25/2021,2021,3,Pregnant mother received care,EH
Yangon,Dagon Myothit (North),9/25/2021,2021,4,Pregnant mother received care,EH
