Year,Year-Month,Year-Quarter,State/Region,Township,Township pcode,Channel,Indicator Name,Total,Program
2022,2022-01,2022-Q1,Kachin,Bhamo,MMR001010,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Bhamo,MMR001010,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Bhamo,MMR001010,ICMV,Total Tested,84,Malaria
2022,2022-01,2022-Q1,Kachin,Bhamo,MMR001010,ICMV,Total Tested,296,Malaria
2022,2022-01,2022-Q1,Kachin,Bhamo,MMR001010,ICMV,Total Tested,29,Malaria
2022,2022-01,2022-Q1,Kachin,Myitkyina,MMR001001,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Myitkyina,MMR001001,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Myitkyina,MMR001001,ICMV,Total Tested,29,Malaria
2022,2022-01,2022-Q1,Kachin,Myitkyina,MMR001001,ICMV,Total Tested,233,Malaria
2022,2022-01,2022-Q1,Sagaing,Banmauk,MMR005023,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Banmauk,MMR005023,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Banmauk,MMR005023,ICMV,Total Tested,7,Malaria
2022,2022-01,2022-Q1,Sagaing,Banmauk,MMR005023,ICMV,Total Tested,874,Malaria
2022,2022-01,2022-Q1,Sagaing,Banmauk,MMR005023,ICMV,Total Tested,3,Malaria
2022,2022-01,2022-Q1,Sagaing,Banmauk,MMR005023,ICMV,Total Tested,4,Malaria
2022,2022-01,2022-Q1,Sagaing,Indaw,MMR005021,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Indaw,MMR005021,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Indaw,MMR005021,ICMV,Total Tested,714,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,13,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,826,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,25,Malaria
2022,2022-01,2022-Q1,Sagaing,Katha,MMR005020,ICMV,Total Tested,14,Malaria
2022,2022-01,2022-Q1,Sagaing,Kyunhla,MMR005008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Kyunhla,MMR005008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Kyunhla,MMR005008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Kyunhla,MMR005008,ICMV,Total Tested,1039,Malaria
2022,2022-01,2022-Q1,Sagaing,Kyunhla,MMR005008,ICMV,Total Tested,1,Malaria
2022,2022-01,2022-Q1,Sagaing,Kyunhla,MMR005008,ICMV,Total Tested,1,Malaria
2022,2022-01,2022-Q1,Sagaing,Mingin,MMR005029,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Mingin,MMR005029,ICMV,Total Tested,433,Malaria
2022,2022-01,2022-Q1,Sagaing,Mingin,MMR005029,ICMV,Total Tested,2,Malaria
2022,2022-01,2022-Q1,Sagaing,Pinlebu,MMR005026,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Pinlebu,MMR005026,ICMV,Total Tested,16,Malaria
2022,2022-01,2022-Q1,Sagaing,Pinlebu,MMR005026,ICMV,Total Tested,22,Malaria
2022,2022-01,2022-Q1,Sagaing,Wuntho,MMR005025,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Wuntho,MMR005025,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Wuntho,MMR005025,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Wuntho,MMR005025,ICMV,Total Tested,473,Malaria
2022,2022-01,2022-Q1,Sagaing,Wuntho,MMR005025,ICMV,Total Tested,3,Malaria
2022,2022-01,2022-Q1,Sagaing,Wuntho,MMR005025,ICMV,Total Tested,39,Malaria
2022,2022-01,2022-Q1,Sagaing,Wuntho,MMR005025,ICMV,Total Tested,12,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,15,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,247,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,30,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,25,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Bokpyin,MMR006010,ICMV,Total Tested,20,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Dawei,MMR006001,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Dawei,MMR006001,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Dawei,MMR006001,ICMV,Total Tested,76,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Dawei,MMR006001,ICMV,Total Tested,4,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Dawei,MMR006001,ICMV,Total Tested,23,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,8,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,263,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,45,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Kyunsu,MMR006006,ICMV,Total Tested,150,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Myeik,MMR006005,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Myeik,MMR006005,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Myeik,MMR006005,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Myeik,MMR006005,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Myeik,MMR006005,ICMV,Total Tested,33,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Myeik,MMR006005,ICMV,Total Tested,566,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Myeik,MMR006005,ICMV,Total Tested,15,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Palaw,MMR006007,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Palaw,MMR006007,ICMV,Total Tested,296,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,320,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,43,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,51,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Tanintharyi,MMR006008,ICMV,Total Tested,2,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,326,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Thayetchaung,MMR006003,ICMV,Total Tested,15,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Yebyu,MMR006004,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Yebyu,MMR006004,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Yebyu,MMR006004,ICMV,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Yebyu,MMR006004,ICMV,Total Tested,2,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Yebyu,MMR006004,ICMV,Total Tested,125,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Yebyu,MMR006004,ICMV,Total Tested,40,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Yebyu,MMR006004,ICMV,Total Tested,14,Malaria
2022,2022-01,2022-Q1,Chin,Tonzang,MMR004005,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Chin,Tonzang,MMR004005,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Chin,Tonzang,MMR004005,PO,Total Tested,132,Malaria
2022,2022-01,2022-Q1,Kachin,Hpakant,MMR001009,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Hpakant,MMR001009,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Hpakant,MMR001009,PO,Total Tested,749,Malaria
2022,2022-01,2022-Q1,Kachin,Mohnyin,MMR001007,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Mohnyin,MMR001007,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Mohnyin,MMR001007,PO,Total Tested,552,Malaria
2022,2022-01,2022-Q1,Kachin,Mohnyin,MMR001007,PO,Total Tested,20,Malaria
2022,2022-01,2022-Q1,Kachin,Momauk,MMR001012,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Momauk,MMR001012,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Momauk,MMR001012,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Momauk,MMR001012,PO,Total Tested,490,Malaria
2022,2022-01,2022-Q1,Kachin,Waingmaw,MMR001002,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Waingmaw,MMR001002,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Waingmaw,MMR001002,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Waingmaw,MMR001002,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Waingmaw,MMR001002,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kachin,Waingmaw,MMR001002,PO,Total Tested,762,Malaria
2022,2022-01,2022-Q1,Kachin,Waingmaw,MMR001002,PO,Total Tested,17,Malaria
2022,2022-01,2022-Q1,Kayin,Hlaingbwe,MMR003002,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Hlaingbwe,MMR003002,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Hlaingbwe,MMR003002,PO,Total Tested,743,Malaria
2022,2022-01,2022-Q1,Kayin,Kawkareik,MMR003006,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Kawkareik,MMR003006,PO,Total Tested,635,Malaria
2022,2022-01,2022-Q1,Kayin,Kawkareik,MMR003006,PO,Total Tested,21,Malaria
2022,2022-01,2022-Q1,Kayin,Kyainseikgyi,MMR003007,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Kyainseikgyi,MMR003007,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Kyainseikgyi,MMR003007,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Kyainseikgyi,MMR003007,PO,Total Tested,299,Malaria
2022,2022-01,2022-Q1,Kayin,Kyainseikgyi,MMR003007,PO,Total Tested,3,Malaria
2022,2022-01,2022-Q1,Kayin,Myawaddy,MMR003005,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Myawaddy,MMR003005,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Myawaddy,MMR003005,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Kayin,Myawaddy,MMR003005,PO,Total Tested,267,Malaria
2022,2022-01,2022-Q1,Mandalay,Madaya,MMR010009,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mandalay,Madaya,MMR010009,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mandalay,Madaya,MMR010009,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mandalay,Madaya,MMR010009,PO,Total Tested,1361,Malaria
2022,2022-01,2022-Q1,Mandalay,Madaya,MMR010009,PO,Total Tested,3,Malaria
2022,2022-01,2022-Q1,Mandalay,Singu,MMR010010,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mandalay,Singu,MMR010010,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mandalay,Singu,MMR010010,PO,Total Tested,664,Malaria
2022,2022-01,2022-Q1,Mon,Ye,MMR011006,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mon,Ye,MMR011006,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mon,Ye,MMR011006,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mon,Ye,MMR011006,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Mon,Ye,MMR011006,PO,Total Tested,476,Malaria
2022,2022-01,2022-Q1,Mon,Ye,MMR011006,PO,Total Tested,151,Malaria
2022,2022-01,2022-Q1,Sagaing,Hkamti,MMR005033,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Hkamti,MMR005033,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Hkamti,MMR005033,PO,Total Tested,223,Malaria
2022,2022-01,2022-Q1,Sagaing,Hkamti,MMR005033,PO,Total Tested,5,Malaria
2022,2022-01,2022-Q1,Sagaing,Kalewa,MMR005028,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Kalewa,MMR005028,PO,Total Tested,329,Malaria
2022,2022-01,2022-Q1,Sagaing,Mawlaik,MMR005031,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Mawlaik,MMR005031,PO,Total Tested,289,Malaria
2022,2022-01,2022-Q1,Sagaing,Paungbyin,MMR005032,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Paungbyin,MMR005032,PO,Total Tested,380,Malaria
2022,2022-01,2022-Q1,Sagaing,Tamu,MMR005030,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Tamu,MMR005030,PO,Total Tested,166,Malaria
2022,2022-01,2022-Q1,Sagaing,Tigyaing,MMR005022,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Tigyaing,MMR005022,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Sagaing,Tigyaing,MMR005022,PO,Total Tested,665,Malaria
2022,2022-01,2022-Q1,Shan (North),Mabein,MMR015018,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Shan (North),Mabein,MMR015018,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Shan (North),Mabein,MMR015018,PO,Total Tested,498,Malaria
2022,2022-01,2022-Q1,Shan (North),Mongmit,MMR015017,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Shan (North),Mongmit,MMR015017,PO,Total Tested,351,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Dawei,MMR006001,PO,Total Tested,0,Malaria
2022,2022-01,2022-Q1,Tanintharyi,Dawei,MMR006001,PO,Total Tested,0,Malaria
