Event Year,Event Month,Event Year-Quarter,Township,State/Region,Township pcode,Channel,Program,Indicator Name,consultation
2018,2018-01,2018-Q1,Bago,Bago (East),MMR007001,SQH,HIV,Newly on ART,4
2018,2018-01,2018-Q1,Mohnyin,Kachin,MMR001007,SQH,HIV,Newly on ART,1
2018,2018-01,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2018,2018-01,2018-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,3
2018,2018-01,2018-Q1,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,3
2018,2018-01,2018-Q1,Pyinoolwin,Mandalay,MMR010008,SQH,HIV,Newly on ART,2
2018,2018-01,2018-Q1,Singu,Mandalay,MMR010010,SQH,HIV,Newly on ART,3
2018,2018-01,2018-Q1,Sagaing,Sagaing,MMR005001,SQH,HIV,Newly on ART,4
2018,2018-01,2018-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,HIV,Newly on ART,1
2018,2018-01,2018-Q1,Hmawbi,Yangon,MMR013003,SQH,HIV,Newly on ART,2
2018,2018-01,2018-Q1,Kamaryut,Yangon,MMR013041,SQH,HIV,Newly on ART,2
2018,2018-01,2018-Q1,Kayan,Yangon,MMR013026,SQH,HIV,Newly on ART,2
2018,2018-01,2018-Q1,Kyeemyindaing,Yangon,MMR013038,SQH,HIV,Newly on ART,12
2018,2018-01,2018-Q1,Mingaladon,Yangon,MMR013002,SQH,HIV,Newly on ART,6
2018,2018-01,2018-Q1,North Okkalapa,Yangon,MMR013012,SQH,HIV,Newly on ART,6
2018,2018-01,2018-Q1,Taikkyi,Yangon,MMR013005,SQH,HIV,Newly on ART,1
2018,2018-01,2018-Q1,Thingangyun,Yangon,MMR013009,SQH,HIV,Newly on ART,2
2018,2018-02,2018-Q1,Nyaungdon,Ayeyarwady,MMR017021,SQH,HIV,Newly on ART,1
2018,2018-02,2018-Q1,Amarapura,Mandalay,MMR010006,SQH,HIV,Newly on ART,1
2018,2018-02,2018-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,HIV,Newly on ART,1
2018,2018-02,2018-Q1,Mogoke,Mandalay,MMR010011,SQH,HIV,Newly on ART,3
2018,2018-02,2018-Q1,Myingyan,Mandalay,MMR010017,SQH,HIV,Newly on ART,2
2018,2018-02,2018-Q1,Pyigyitagon,Mandalay,MMR010005,SQH,HIV,Newly on ART,2
