Year,Year-Month,Year-Quarter,Township,State/Region,Township pcode,Channel,Indicator Name,Program,Total
2022,2022-01,2022-Q1,Ahlone,Yangon,MMR013037,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Amarapura,Mandalay,MMR010006,SQH,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Aunglan,Magway,MMR009016,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Aungmyaythazan,Mandalay,MMR010001,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Bago,Bago (East),MMR007001,CBTBC,TB cases diagnosed and treated_Sun,TB,34
2022,2022-01,2022-Q1,Bago,Bago (East),MMR007001,Drug Seller,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Bago,Bago (East),MMR007001,SQH,TB cases diagnosed and treated_Sun,TB,46
2022,2022-01,2022-Q1,Bilin,Mon,MMR011010,CBTBC,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Bogale,Ayeyarwady,MMR017024,SQH,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Chanayethazan,Mandalay,MMR010002,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Chanmyathazi,Mandalay,MMR010004,SQH,TB cases diagnosed and treated_Sun,TB,12
2022,2022-01,2022-Q1,Chauk,Magway,MMR009003,Drug Seller,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Chauk,Magway,MMR009003,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Dagon Myothit (East),Yangon,MMR013020,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Dagon Myothit (North),Yangon,MMR013019,CBTBC,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Dagon Myothit (North),Yangon,MMR013019,Drug Seller,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Dagon Myothit (North),Yangon,MMR013019,SQH,TB cases diagnosed and treated_Sun,TB,8
2022,2022-01,2022-Q1,Dagon Myothit (Seikkan),Yangon,MMR013021,Drug Seller,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Dagon Myothit (Seikkan),Yangon,MMR013021,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Dagon Myothit (South),Yangon,MMR013018,CBTBC,TB cases diagnosed and treated_Sun,TB,8
2022,2022-01,2022-Q1,Dagon Myothit (South),Yangon,MMR013018,Drug Seller,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Dagon Myothit (South),Yangon,MMR013018,SQH,TB cases diagnosed and treated_Sun,TB,26
2022,2022-01,2022-Q1,Daik-U,Bago (East),MMR007007,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Dala,Yangon,MMR013030,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Danubyu,Ayeyarwady,MMR017022,CBTBC,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Danubyu,Ayeyarwady,MMR017022,SQH,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Dawbon,Yangon,MMR013014,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Gyobingauk,Bago (West),MMR008014,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Hinthada,Ayeyarwady,MMR017008,CBTBC,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Hinthada,Ayeyarwady,MMR017008,SQH Scheme1,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Hlaing,Yangon,MMR013040,CBTBC,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Hlaing,Yangon,MMR013040,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Hlaingbwe,Kayin,MMR003002,SQH,TB cases diagnosed and treated_Sun,TB,18
2022,2022-01,2022-Q1,Hlaingtharya,Yangon,MMR013008,CBTBC,TB cases diagnosed and treated_Sun,TB,19
2022,2022-01,2022-Q1,Hlaingtharya,Yangon,MMR013008,SQH,TB cases diagnosed and treated_Sun,TB,16
2022,2022-01,2022-Q1,Hlegu,Yangon,MMR013004,CBTBC,TB cases diagnosed and treated_Sun,TB,22
2022,2022-01,2022-Q1,Hlegu,Yangon,MMR013004,SQH,TB cases diagnosed and treated_Sun,TB,12
2022,2022-01,2022-Q1,Hmawbi,Yangon,MMR013003,CBTBC,TB cases diagnosed and treated_Sun,TB,25
2022,2022-01,2022-Q1,Hmawbi,Yangon,MMR013003,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Hpa-An,Kayin,MMR003001,SQH,TB cases diagnosed and treated_Sun,TB,42
2022,2022-01,2022-Q1,Hsipaw,Shan (North),MMR015014,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Htantabin,Bago (East),MMR007014,SQH,TB cases diagnosed and treated_Sun,TB,6
2022,2022-01,2022-Q1,Insein,Yangon,MMR013001,Drug Seller,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Insein,Yangon,MMR013001,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Kale,Sagaing,MMR005027,CBTBC,TB cases diagnosed and treated_Sun,TB,14
2022,2022-01,2022-Q1,Kale,Sagaing,MMR005027,SQH,TB cases diagnosed and treated_Sun,TB,36
2022,2022-01,2022-Q1,Kanbalu,Sagaing,MMR005007,SQH,TB cases diagnosed and treated_Sun,TB,3
2022,2022-01,2022-Q1,Kangyidaunt,Ayeyarwady,MMR017002,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Katha,Sagaing,MMR005020,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Kawa,Bago (East),MMR007003,SQH,TB cases diagnosed and treated_Sun,TB,10
2022,2022-01,2022-Q1,Kawhmu,Yangon,MMR013028,CBTBC,TB cases diagnosed and treated_Sun,TB,12
2022,2022-01,2022-Q1,Kawkareik,Kayin,MMR003006,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Kawlin,Sagaing,MMR005024,SQH,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Kayan,Yangon,MMR013026,SQH,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Kyaikto,Mon,MMR011009,SQH,TB cases diagnosed and treated_Sun,TB,19
2022,2022-01,2022-Q1,Kyaukpadaung,Mandalay,MMR010020,CBTBC,TB cases diagnosed and treated_Sun,TB,7
2022,2022-01,2022-Q1,Kyaukpadaung,Mandalay,MMR010020,Drug Seller,TB cases diagnosed and treated_Sun,TB,15
2022,2022-01,2022-Q1,Kyaukpadaung,Mandalay,MMR010020,SQH,TB cases diagnosed and treated_Sun,TB,18
2022,2022-01,2022-Q1,Kyauktaga,Bago (East),MMR007006,CBTBC,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Kyauktaga,Bago (East),MMR007006,Drug Seller,TB cases diagnosed and treated_Sun,TB,2
2022,2022-01,2022-Q1,Kyauktaga,Bago (East),MMR007006,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Kyeemyindaing,Yangon,MMR013038,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Lashio,Shan (North),MMR015001,SQH,TB cases diagnosed and treated_Sun,TB,21
2022,2022-01,2022-Q1,Letpadan,Bago (West),MMR008008,CBTBC,TB cases diagnosed and treated_Sun,TB,5
2022,2022-01,2022-Q1,Lewe,Nay Pyi Taw,MMR018007,SQH,TB cases diagnosed and treated_Sun,TB,4
2022,2022-01,2022-Q1,Madaya,Mandalay,MMR010009,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Magway,Magway,MMR009001,CBTBC,TB cases diagnosed and treated_Sun,TB,17
2022,2022-01,2022-Q1,Magway,Magway,MMR009001,Drug Seller,TB cases diagnosed and treated_Sun,TB,8
2022,2022-01,2022-Q1,Magway,Magway,MMR009001,SQH,TB cases diagnosed and treated_Sun,TB,1
2022,2022-01,2022-Q1,Mahaaungmyay,Mandalay,MMR010003,SQH,TB cases diagnosed and treated_Sun,TB,7
