State,Township,Male,Female,Total,Indicator Name,Data Source,Reporting Month,Donor,Indicator,
Kachin,Mohnyin,5,1,6,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-10,UNICEF,Under 5 diarrhoea cases treated,
Kayin,Hpa-An,1,,1,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-10,UNICEF,Under 5 diarrhoea cases treated,
Kayin,Myawaddy,,1,1,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-10,UNICEF,Under 5 diarrhoea cases treated,
Shan (South),Pinlaung,,3,3,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-10,UNICEF,Under 5 diarrhoea cases treated,
Yangon,Hlaingtharya,1,1,2,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-10,UNICEF,Under 5 diarrhoea cases treated,
Yangon,Hlaingtharya,1,3,4,# of children under 5 with suspected pneumonia received antibiotic according to national protocol,Child Health ,2022-10,UNICEF,Under 5 pneumonia cases treated,
Kachin,Bhamo,1,1,2,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-11,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Bhamo,3,1,4,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-12,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Mogaung,3,2,5,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-12,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Mogaung,14,10,24,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2023-01,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Mohnyin,6,11,17,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-11,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Mohnyin,9,8,17,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-12,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Mohnyin,13,9,22,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2023-01,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Myitkyina,5,1,6,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-11,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Myitkyina,8,2,10,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2022-12,UNICEF,Under 5 diarrhoea cases treated,
Kachin,Myitkyina,5,3,8,# of children under 5 with diarrhea received ORS + Zinc according to national protocol (both in-facility and in-community) ,Child Health ,2023-01,UNICEF,Under 5 diarrhoea cases treated,
